Circuit,DNFCount,racecount
Autodromo Nazionale Monza,677,70
Circuit de Monaco,643,67
Silverstone Circuit,487,57
Circuit de Spa-Francorchamps,417,53
Nurburgring,401,41
Hockenheimring,366,37
Hungaroring,262,36
Autodromo Jose Carlos Pace,245,33
Circuit Gilles-Villeneuve,279,31
Suzuka International Racing Course,214,30
Circuit Park Zandvoort,289,29
Red Bull Ring,253,27
Melbourne Grand Prix Circuit,193,24
Circuit de Catalunya,186,22
Autodromo Enzo e Dino Ferrari,204,21
Autodromo Hermanos Rodr�guez,170,21
Kyalami Grand Prix Circuit,226,20
Watkins Glen International,208,20
Indianapolis Motor Speedway,261,19
Sepang International Circuit,119,19
Circuit de Nevers Magny-Cours,140,18
Bahrain International Circuit,70,17
Autodromo Juan y Oscar Galvez,152,16
Circuit Paul Ricard,158,16
Shanghai International Circuit,53,15
Autodromo do Estoril,142,13
Brands Hatch Circuit,156,13
Yas Marina Circuit,40,13
Marina Bay Street Circuit,60,12
Adelaide Street Circuit,151,11
Circuit de Reims-Gueux,110,11
Autodromo Internacional Nelson Piquet,124,10
Circuit Zolder,136,10
Circuit de Barcelona-Catalunya,26,9
Circuit of The Americas,33,9
Circuito Permanente del Jarama,93,9
Autodromo Dino Ferrari,111,8
Long Beach Street Circuit,103,8
Mosport International Raceway,67,8
Sochi Autodrom,27,8
A1-Ring,65,7
Circuito Permanente de Jerez,78,7
Detroit Street Circuit,102,7
Istanbul Park,24,7
Circuit Dijon-Prenois,46,6
Scandinavian Raceway,58,6
Aintree Racecourse,53,5
Autodromo de Interlagos,48,5
Baku City Circuit,26,5
Bremgarten,46,5
Circuit Gilles Villeneuve,62,5
Rouen les Essarts,35,5
Charade Circuit,26,4
Circuit Gilles Villeneuve ,50,4
Fuji Speedway,40,4
Korean International Circuit,21,4
Montjuic circuit,44,4
Valencia Street Circuit,14,4
Autodromo de Buenos Aires Oscar y Juan Galvez ,26,3
Buddh International Circuit,12,3
Phoenix Street Circuit,48,3
Prince George Circuit,19,3
Autodromo Internacional do Algarve,2,2
Caesars Palace,20,2
Circuit da Boavista,13,2
Circuit de Nivelles Baulers,23,2
Circuit de Pedralbes,21,2
Mont-Tremblant,19,2
TI Circuit Aida,22,2
AVUS,8,1
Ain-Diab Circuit,9,1
Bahrain International Circuit  Outer Track,3,1
Bugatti Au Mans,9,1
Circuit Zandvoort,3,1
Dallas Fair Park,16,1
Donington Park,13,1
Intercity Istanbul Park,4,1
Jeddah Corniche Circuit,5,1
Losail International Circuit,2,1
Monsanto Park,6,1
Mugello,8,1
Pescara Circuit,9,1
Riverside International Raceway,7,1
Sebring Raceway,11,1
Zeltweg Airfield,11,1
